sex,jbstatus,age,tenure,ethnicity,ManMot1,ManMot2,ManMot3,ManMot4,ocb1,ocb2,ocb3,ocb4,aut1,aut2,aut3,Justice1,Justice2,Justice3,JobSat1,JobSat2,Quit1,Quit2,Quit3,Man1,Man2,Man3,Eng1,Eng2,Eng3,Eng4,pos1,pos2,pos3
1,1,9,0.5,14,5,5,5,2,1,3,4,5,2,2,2,3,3,3,3,3,4,5,4,1,1,1,2,3,2,2,,,
2,1,4,1,14,2,2,3,3,3,4,4,4,2,2,2,4,3,4,1,2,3,3,3,3,3,3,1,1,1,1,4,4,4
1,1,5,3.5,14,3,4,4,4,3,3,3,3,2,2,2,4,4,3,2,2,4,4,4,4,3,3,4,2,3,3,2,4,4
2,1,6,5,14,2,1,2,2,1,3,4,2,1,2,2,2,2,4,1,1,5,5,5,2,2,2,2,2,2,2,3,4,4
2,1,6,10,14,3,2,4,3,2,3,3,1,1,2,2,3,3,3,2,3,3,2,3,3,3,3,3,2,2,2,3,3,3
2,1,4,2,14,4,4,4,4,2,2,2,2,2,2,3,3,3,4,2,3,4,4,4,3,4,3,3,2,2,2,4,2,4
2,1,9,,16,4,1,3,4,1,1,1,4,2,2,1,5,5,5,5,1,5,5,5,5,5,5,4,4,4,4,1,5,5
2,1,6,4,14,3,3,3,3,2,4,4,2,1,2,2,3,3,3,2,3,2,2,2,2,2,2,2,2,2,3,4,4,5
1,1,8,2,14,3,2,2,1,2,3,3,4,1,1,1,3,3,3,2,2,4,4,4,3,3,3,3,2,2,2,3,3,3
2,1,4,2,14,3,2,3,2,3,3,3,4,3,2,3,3,3,3,2,2,5,5,5,2,2,2,2,2,2,2,3,3,2
2,1,5,1,14,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,3,4,4,2,2,2,4,4,4,4,3,3,3
2,4,9,1.3,14,2,1,3,2,4,4,4,5,2,3,2,3,3,3,2,1,5,5,5,,,,2,2,2,2,3,3,3
1,1,7,12,16,2,3,3,2,1,2,3,2,2,2,2,4,3,4,1,2,5,4,4,2,2,3,,,,,,,
2,1,9,25,14,1,2,3,2,1,2,3,5,1,1,1,3,3,3,1,3,5,5,5,3,3,3,1,1,1,1,4,4,3
2,1,6,8,14,3,2,3,2,2,3,3,5,2,2,2,3,3,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
2,1,3,7,15,2,2,3,2,2,2,1,3,1,1,1,3,3,3,1,2,4,2,4,2,2,2,2,2,,3,4,3,3
2,,6,2,14,1,1,1,1,1,1,1,3,5,5,5,5,5,5,1,1,2,1,1,3,5,4,5,5,5,5,5,5,5
